Time,Fluo,Isos,IO2,IO3,Distances
70.56,0.16078071054321869,0.14981631180148705,0,0,
70.57,0.16083015694624142,0.14992284801414987,0,0,
70.58,0.1608498138634377,0.15002686843613147,0,0,
70.59,0.16084423064164458,0.15009610824834965,0,0,
70.6,0.16082594678021359,0.1500919860300633,1,0,0.06712009805254178
70.61,0.16081982929069588,0.15007999420724052,0,0,
70.62,0.16083144917216094,0.1500711588273683,0,0,
70.63,0.16085348769961824,0.15004605535911913,0,0,
70.64,0.1608787691595585,0.15005524772533202,0,0,
70.65,0.16089228275253328,0.1500749582372585,0,0,
70.66,0.16088945067590063,0.15004889613316544,0,0,
70.67,0.1608683370669359,0.14999841447196025,0,0,
70.68,0.1608582819277344,0.149950556005342,0,0,
70.69,0.16089360022267862,0.14992413210406766,0,0,
70.7,0.16097972009712552,0.14997808652656267,1,0,0.4640370527262831
70.71,0.1610942357967335,0.1500834006959788,0,0,
70.72,0.16119482657682202,0.15016207978113832,0,0,
70.73,0.16125755603687164,0.15023389049936606,0,0,
70.74,0.16125761125524346,0.15026460749065482,0,0,
70.75,0.16119038605539915,0.15020096419492746,0,0,
70.76,0.16108850021967097,0.15009735472789315,0,0,
70.77,0.1610062516378989,0.14999751895358307,0,0,
70.78,0.16098988324157537,0.14993107126430597,0,0,
70.79,0.1610287208928986,0.1499564137894811,0,0,
70.8,0.16108684423583358,0.1500571107190436,1,0,0.45932083969284904
70.81,0.16111772033549743,0.15015148707742584,0,0,
70.82,0.16110234896179668,0.15022184434723318,0,0,
70.83,0.16106519567611982,0.15023371467340854,0,0,
70.84,0.16104872824377045,0.15017221014489668,0,0,
70.85,0.16109640295060582,0.15014857877390736,0,0,
70.86,0.16119819046796158,0.150200645477805,0,0,
70.87,0.16131047138626406,0.1502875213119181,0,0,
70.88,0.161385447646017,0.15039791595604277,0,0,
70.89,0.1614005630074139,0.1504763033942852,0,0,
70.9,0.16135826715208088,0.15046990749998126,1,0,0.03707599639892578
70.91,0.16125942655293168,0.1504125865513119,0,0,
70.92,0.16114128469568012,0.15033242369084804,0,0,
70.93,0.16105628468160954,0.15023923054947932,0,0,
70.94,0.16104439786900296,0.15021179570419038,0,0,
70.95,0.1611009070021308,0.1502558121364489,0,0,
70.96,0.16118251850448365,0.15031587137778174,0,0,
70.97,0.16125307371939412,0.15040177939345195,0,0,
70.98,0.16128514870375932,0.15046016175860674,0,0,
70.99,0.16127811062372885,0.150430374569383,0,0,
71.0,0.16123550877689488,0.15035613641723541,1,0,0.03831727869206697
71.01,0.16117095147181004,0.15027544048201796,0,0,
71.02,0.16110616845661882,0.15020120061129746,0,0,
71.03,0.16104847462680838,0.1501805906738182,0,0,
71.04,0.16101256523376584,0.15020806654708782,0,0,
71.05,0.16100547431632325,0.1502327820328796,0,0,
71.06,0.16102547862225752,0.15027377537211475,0,0,
71.07,0.16104342545674463,0.15029709262132668,0,0,
71.08,0.16103409387187456,0.15026336178947725,0,0,
71.09,0.16101109590913518,0.15025095280793693,0,0,
71.1,0.16099517123779966,0.15028548870542033,1,0,0.03831727869206697
71.11,0.16100731751642838,0.15032985284037975,0,0,
71.12,0.16104179658812048,0.15037352075393867,0,0,
71.13,0.16108151086718162,0.15038214065851285,0,0,
71.14,0.16110014605673428,0.15032632140479832,0,0,
71.15,0.16107066513017096,0.15025304919772417,0,0,
71.16,0.1610019133041919,0.15017874254038174,0,0,
71.17,0.16093276156087877,0.15009215770484363,0,0,
71.18,0.16092704410334613,0.15007014218976664,0,0,
71.19,0.1610048204099119,0.15012463062576475,0,0,
71.2,0.16112941825505087,0.15021384858760234,1,0,0.11034238338470459
71.21,0.16124634007510855,0.15034845315749687,0,0,
71.22,0.16131277334784128,0.15047298488403213,0,0,
71.23,0.16132359360371493,0.1505194118676017,0,0,
71.24,0.16128525783745323,0.15050133301903104,0,0,
71.25,0.16122483950764022,0.15043841380568998,0,0,
71.26,0.16117199474415406,0.15035411314611818,0,0,
71.27,0.1611439312052697,0.15032789901893318,0,0,
71.28,0.1611401853704762,0.15035977642667409,0,0,
71.29,0.16113355070842134,0.1503858989906005,0,0,
71.3,0.16111330317752579,0.15041981841873753,1,0,0.14546704139273817
71.31,0.16107651746653032,0.15042617990917279,0,0,
71.32,0.16103890071710264,0.15037237483575291,0,0,
71.33,0.16102319694642936,0.15033834532893003,0,0,
71.34,0.16103731946808603,0.15036381374525032,0,0,
71.35,0.16108049703968302,0.1504375881392529,0,0,
71.36,0.1611335950043553,0.15056085200407263,0,0,
71.37,0.16118387124187208,0.15067943928948196,0,0,
71.38,0.1612052299088605,0.15071665044667548,0,0,
71.39,0.16117490481721364,0.1506959123634969,0,0,
71.4,0.1611006223697411,0.15062620678235536,1,0,0.6434066410048058
71.41,0.16102031188911967,0.15050083409803544,0,0,
71.42,0.16099555649310052,0.15040647275761726,0,0,
71.43,0.16104240720844515,0.15036610708718715,0,0,
71.44,0.16113610889455302,0.1503574361097451,0,0,
71.45,0.1612344390321921,0.15040629707455974,0,0,
71.46,0.16130450934631524,0.15048104658529413,0,0,
71.47,0.1613276395229246,0.15052453837573118,0,0,
71.48,0.16128604886286763,0.15054846046283465,0,0,
71.49,0.16120656225313412,0.15056030763892378,0,0,
71.5,0.1611461049253105,0.1505556430044475,1,0,0.5647850036621094
71.51,0.16115962707825374,0.1505957132523594,0,0,
71.52,0.1612457781667242,0.15066480910481783,0,0,
71.53,0.16134290593617484,0.15069360709334254,0,0,
71.54,0.16139514872699262,0.15069848926198018,0,0,
71.55,0.16137400293186363,0.150653437397778,0,0,
71.56,0.1613030601671901,0.15053600838188852,0,0,
71.57,0.16122514680594793,0.15042391965979804,0,0,
71.58,0.16118499784582452,0.1503708935954786,0,0,
71.59,0.16120924323677321,0.1503804282456807,0,0,
71.6,0.16128630645052583,0.1504669302193838,1,0,0.9521215558052063
71.61,0.16139458812767646,0.15058714329770173,0,0,
71.62,0.16149775904470132,0.1506711713573993,0,0,
71.63,0.16156596279882401,0.15073823772077205,0,0,
71.64,0.1615684495574166,0.15076070463588842,0,0,
71.65,0.1614986962580565,0.1507005681464569,0,0,
71.66,0.16140143042122862,0.15063900059924332,0,0,
71.67,0.161330693561421,0.15061650592247194,0,0,
71.68,0.1613225777031728,0.1506234274289764,0,0,
71.69,0.16136095985158028,0.15066380566314516,0,0,
71.7,0.1614118636561601,0.15069314840400275,1,0,0.9882773737564222
71.71,0.1614423319438077,0.15067130032105963,0,0,
71.72,0.16142410478412406,0.1506470048539835,0,0,
71.73,0.1613680541273497,0.15063988142000395,0,0,
71.74,0.1613186449029616,0.1506396312208322,0,0,
71.75,0.16134199870902813,0.15071615237276212,0,0,
71.76,0.1614543224664558,0.1508598083407749,0,0,
71.77,0.16161119537959617,0.15099941881081969,0,0,
71.78,0.1617478154928732,0.15112273089642483,0,0,
71.79,0.16180969447550578,0.15116840328510586,0,0,
71.8,0.1617846637575287,0.15108989861269118,1,0,0.403985163078177
71.81,0.16168107996900083,0.15094817136180252,0,0,
71.82,0.16154447044853223,0.1508045942882505,0,0,
71.83,0.1614341495577453,0.15069086802272086,0,0,
71.84,0.1613902183815506,0.15066977413830432,0,0,
71.85,0.16142017901020525,0.15071943439506857,0,0,
71.86,0.16149190818901046,0.15076419588373086,0,0,
71.87,0.16157833501775398,0.1508210074494197,0,0,
71.88,0.16164976993376462,0.15086477145188223,0,0,
71.89,0.1616878384369953,0.15086288872820014,0,0,
71.9,0.161698500300916,0.15088113019324798,1,0,0.2850438058376312
71.91,0.16170501477219634,0.1509397226032658,0,0,
71.92,0.16172620778167277,0.1510144927045672,0,0,
71.93,0.16173375996401174,0.15110444022050476,0,0,
71.94,0.16169991525096714,0.15116478473559167,0,0,
71.95,0.16161737484504068,0.1511351155893258,0,0,
71.96,0.16150914827354498,0.15105802547830532,0,0,
71.97,0.16141417540736427,0.1509620832690583,0,0,
71.98,0.1613639065130318,0.1508602744836462,0,0,
71.99,0.16139074630369818,0.15084943738703135,0,0,
72.0,0.1614847507446352,0.1509373315207284,1,0,0.06762705728101479
72.01,0.16160139532483994,0.15106194382804966,0,0,
72.02,0.1616843724128842,0.15120406766131422,0,0,
72.03,0.16170608945413328,0.15130878023423508,0,0,
72.04,0.1616823353735767,0.15133213897600312,0,0,
72.05,0.16163321970538505,0.15131630238271673,0,0,
72.06,0.16158647670531479,0.15128712450413193,0,0,
72.07,0.16155667253195524,0.1512331461652903,0,0,
72.08,0.16155762330783655,0.15120096795384402,0,0,
72.09,0.16159102195964675,0.1511798410058623,0,0,
72.1,0.16163577153104136,0.15113557391233365,1,0,0.06762705728101479
72.11,0.16167432694114572,0.15112346839420096,0,0,
72.12,0.16168212306038146,0.15112508652025478,0,0,
72.13,0.16165831853278798,0.15108685515967388,0,0,
72.14,0.16162325674247086,0.1510387862380769,0,0,
72.15,0.1616136322399091,0.1510058361642776,0,0,
72.16,0.16164715334125973,0.15100350059921863,0,0,
72.17,0.16169564471843106,0.1510762667447754,0,0,
72.18,0.16172988601517885,0.15118788082033877,0,0,
72.19,0.16173555642436446,0.1512487491660852,0,0,
72.2,0.16172476687426673,0.15125956486540126,1,0,0.24102617729343914
72.21,0.16169720210810876,0.1511955967749765,0,0,
72.22,0.1616444137892089,0.15104387174617193,0,0,
72.23,0.16159193044041537,0.1509177962574666,0,0,
72.24,0.16157354206390226,0.15087812732108272,0,0,
72.25,0.16160563652617638,0.15091675647838132,0,0,
72.26,0.1616526522698435,0.15102386679206967,0,0,
72.27,0.1616729533223321,0.15112742923727526,0,0,
72.28,0.16165448392033124,0.15115129499468466,0,0,
72.29,0.16160746079062077,0.1511187881894227,0,0,
72.3,0.16155558666073203,0.15104540024764662,1,0,0.13840579986572266
72.31,0.1615073539611385,0.15093111585924052,0,0,
72.32,0.16147866040195427,0.150869632025175,0,0,
72.33,0.16147185521071808,0.1508834259650149,0,0,
72.34,0.16147466362684643,0.15092530295700068,0,0,
72.35,0.1614744466098371,0.1509985304436548,0,0,
72.36,0.16145896064189927,0.15105203109992116,0,0,
72.37,0.16143682077815377,0.1510350786917216,0,0,
72.38,0.1614142525292548,0.15098597210878856,0,0,
72.39,0.16140951554210534,0.15093682298992162,0,0,
72.4,0.1614334701362082,0.15089390564756194,1,0,0.25695750539077933
72.41,0.16147984323893574,0.1509047840981809,0,0,
72.42,0.16153559633066467,0.15095205186064378,0,0,
72.43,0.16157737526674593,0.15097201595729265,0,0,
72.44,0.16160327315665374,0.15098634972585967,0,0,
72.45,0.16160672836298734,0.15097266509350235,0,0,
72.46,0.161581413431707,0.1509071467608326,0,0,
72.47,0.16153086567590488,0.15086736017364283,0,0,
72.48,0.16147176537860541,0.15088316652985082,0,0,
72.49,0.16142773761004794,0.15093017440679632,0,0,
72.5,0.16138881026104607,0.1509959814993156,1,0,0.25695750539077933
72.51,0.16134597144415366,0.15102500109098058,0,0,
72.52,0.16129260778450946,0.15095866276582096,0,0,
72.53,0.1612308663715759,0.15084027832789032,0,0,
72.54,0.16117306648600868,0.15069310763936636,0,0,
72.55,0.1611267304601058,0.15052427862698373,0,0,
72.56,0.16110587298332948,0.15041935585473512,0,0,
72.57,0.1611003198601317,0.15036931956633276,0,0,
72.58,0.16109082101032624,0.15031119767955986,0,0,
72.59,0.16105948859845515,0.15026459757445174,0,0,
72.6,0.16101302504332368,0.1502376882437333,1,0,1.8967745304107666
72.61,0.16098044581976004,0.15023065322196075,0,0,
72.62,0.16096654734799276,0.15027755923853056,0,0,
72.63,0.16096994366788897,0.15035535160888225,0,0,
72.64,0.16098286811773088,0.15041214189322438,0,0,
72.65,0.16100521155093972,0.150488019405484,0,0,
72.66,0.1610334089310061,0.150574773337564,0,0,
72.67,0.16105649112501644,0.1506136392397169,0,0,
72.68,0.16107340178021234,0.15062411818533064,0,0,
72.69,0.16107432197138968,0.15058686293865883,0,0,
72.7,0.16106686565096615,0.15049592705344897,1,0,0.8952948789897054
72.71,0.1610716784066221,0.15044287743070747,0,0,
72.72,0.16112177157807503,0.15047726795352373,0,0,
72.73,0.16123679388655318,0.15059079952656718,0,0,
72.74,0.16138915651392582,0.15079342854450367,0,0,
72.75,0.16154012191022427,0.15104188767764762,0,0,
72.76,0.1616528919758233,0.15125015025588437,0,0,
72.77,0.1617160396662907,0.15140229111933978,0,0,
72.78,0.16172340693928527,0.15144807026710805,0,0,
72.79,0.1616812267883674,0.15136101413289116,0,0,
72.8,0.1616253990929274,0.15125443296814553,1,0,1.4638785123825073
72.81,0.16158448387036928,0.1511909115966286,0,0,
72.82,0.16157661533979475,0.15116183044070805,0,0,
72.83,0.16159298929976418,0.15117146668422551,0,0,
72.84,0.16162409231754193,0.15118426889495265,0,0,
72.85,0.16165526660621576,0.15116839857059983,0,0,
72.86,0.16165597879662463,0.15116895675888828,0,0,
72.87,0.16162072761880902,0.15119300200475538,0,0,
72.88,0.16157270114467087,0.15121101994301756,0,0,
72.89,0.1615629629733322,0.151269793916014,0,0,
72.9,0.1616003809957647,0.15134684125893338,1,0,0.32516935526208907
72.91,0.1616399010919049,0.15137872456016016,0,0,
72.92,0.16163268103529213,0.15139061748846758,0,0,
72.93,0.16156353897375597,0.1513742931105996,0,0,
72.94,0.1614688569195799,0.15131279913188062,0,0,
72.95,0.1613846691351137,0.15124809729150657,0,0,
72.96,0.16134486014261895,0.1511938869930652,0,0,
72.97,0.1613661012050489,0.15114836854865074,0,0,
72.98,0.1614451702508611,0.15116741126016775,0,0,
72.99,0.1615755009206686,0.1512369092818495,0,0,
73.0,0.16172786793173025,0.15128448016990348,1,0,0.32516935526208907
73.01,0.16186220301370546,0.15132129140736056,0,0,
73.02,0.1619154369036067,0.15131330303956614,0,0,
73.03,0.16185330289138172,0.1512178078462057,0,0,
73.04,0.16170732572193172,0.15109461336241586,0,0,
73.05,0.16155419377284405,0.15098130266343998,0,0,
73.06,0.16147175391356816,0.15090194366383444,0,0,
73.07,0.16147648714979804,0.1509120333975646,0,0,
73.08,0.1615442823381875,0.15099143935894482,0,0,
73.09,0.1616199628582076,0.1510571395578012,0,0,
73.1,0.16165017405454904,0.1510969074201519,1,0,1.0018892288208008
73.11,0.16161115128737538,0.15108585921858925,0,0,
73.12,0.16152103176918428,0.15101006872439363,0,0,
73.13,0.16144943316105695,0.1509733470702134,0,0,
73.14,0.16144237164521752,0.15101019598568968,0,0,
73.15,0.16150193258244522,0.15108200523102203,0,0,
73.16,0.16159632247382946,0.15118477420271897,0,0,
73.17,0.16168985957446036,0.1512741945448022,0,0,
73.18,0.16175201413827112,0.15130700194150923,0,0,
73.19,0.16174423621385736,0.15130662383922985,0,0,
73.2,0.16166689242470064,0.15127311206171865,1,0,1.105764338825378
73.21,0.16155533613142303,0.15119135484823173,0,0,
73.22,0.16147176561208887,0.15113357418159834,0,0,
73.23,0.16145579450685751,0.1511183023195752,0,0,
73.24,0.1614934643779535,0.1511088770045011,0,0,
73.25,0.16155228751492848,0.15113063963856482,0,0,
73.26,0.16158688177738945,0.15114207720966366,0,0,
73.27,0.16157654627020543,0.15109187313900851,0,0,
73.28,0.16152580839246514,0.15102347553537787,0,0,
73.29,0.16146973356032596,0.15096722862852754,0,0,
73.3,0.16144544572322556,0.1509379528126801,1,0,0.7192476987838745
73.31,0.16144726732697626,0.15097801797111718,0,0,
73.32,0.16145132735535966,0.15104985504266075,0,0,
73.33,0.16142680208627969,0.1510632094933256,0,0,
73.34,0.16137243351544475,0.151028560858135,0,0,
73.35,0.16130467775300134,0.15094763255877863,0,0,
73.36,0.16124887009544267,0.1508294526093621,0,0,
73.37,0.16123875010040972,0.1507842989915734,0,0,
73.38,0.16127901811354772,0.1508405519721239,0,0,
73.39,0.16135383907829748,0.15094495511115796,0,0,
73.4,0.16141777893806902,0.15105698721061694,1,0,1.146913097128867
73.41,0.16142697392039299,0.1511004931854121,0,0,
73.42,0.16135735435334003,0.15102013925340654,0,0,
73.43,0.1612131882004623,0.15087035714135677,0,0,
73.44,0.16104679655889503,0.150695817017251,0,0,
73.45,0.1609222325251849,0.1505144845378993,0,0,
73.46,0.16089228121453572,0.15041860832305864,0,0,
73.47,0.16094753627412867,0.15042034795444628,0,0,
73.48,0.1610390412444457,0.1504689312362756,0,0,
73.49,0.16112615478729422,0.1505624536337399,0,0,
73.5,0.16117397211749673,0.15062703577592917,1,0,0.8809752530258956
73.51,0.16116344265698954,0.15057890270920823,0,0,
73.52,0.1610804555764589,0.15044103963306552,0,0,
73.53,0.16095189682843775,0.15026587077663559,0,0,
73.54,0.1608283137837268,0.1501087098257598,0,0,
73.55,0.16074997297192659,0.15006031544036902,0,0,
73.56,0.1607346558084887,0.1501065491900724,0,0,
73.57,0.16076417564550227,0.15015611740775028,0,0,
73.58,0.16081522894426994,0.15020693945734886,0,0,
73.59,0.16084967431251443,0.1502222303075737,0,0,
73.6,0.16084641156450394,0.15015966316811252,1,0,0.8809752530258956
73.61,0.1608203878872269,0.15008167554958843,0,0,
73.62,0.16080241750362861,0.1500286263741029,0,0,
73.63,0.16082012165173964,0.15001718345542842,0,0,
73.64,0.16086589656783085,0.15007950353596103,0,0,
73.65,0.16092534755227356,0.15017132926315077,0,0,
73.66,0.1609675574940788,0.1502013006865883,0,0,
73.67,0.16095089080384245,0.15016365377822422,0,0,
73.68,0.16085353358386523,0.15005255063759365,0,0,
73.69,0.16070239197719535,0.14987682230838223,0,0,
73.7,0.1605815436000228,0.149747760716505,1,0,0.8809752530258956
73.71,0.1605433470480491,0.1496916131033308,0,0,
73.72,0.160583217493741,0.14966929212092817,0,0,
73.73,0.160656806818229,0.1496979344789892,0,0,
73.74,0.1607165993183526,0.14975574114457138,0,0,
73.75,0.1607333134346483,0.14979634265817326,0,0,
73.76,0.16068820248339608,0.14981146944763288,0,0,
73.77,0.16060180140666752,0.1497664975211893,0,0,
73.78,0.1605118658564429,0.14964294329399683,0,0,
73.79,0.16046101986780292,0.1495445784521823,0,0,
73.8,0.16046750016034286,0.14952534472432497,1,0,1.7483089154242408
