,701_A53T
2.22,0.4276702817561598
2.23,0.40196176654355725
2.24,0.38273565620115546
2.25,0.3725939508278841
2.26,0.36941920880638945
2.27,0.3666494300515109
2.28,0.35621229817935973
2.29,0.3324910002142807
2.3,0.29516558890496963
2.31,0.24963930874655763
2.32,0.20535725459156526
2.33,0.17288466400310948
2.34,0.16032159104632954
2.35,0.17013008104789223
2.36,0.19801304274650483
2.37,0.23447914655865837
2.38,0.26816157376415634
2.39,0.28944854311262336
2.4,0.29315893819186767
2.41,0.27940250268802524
2.42,0.25272073168419185
2.43,0.22028143210409562
2.44,0.1895817257118615
2.45,0.16609588873184628
2.46,0.15189163656970603
2.47,0.14580007247109217
2.48,0.14459591424021523
2.49,0.14457053971613953
2.5,0.14320256481790022
2.51,0.14012238956760653
2.52,0.1365420505564731
2.53,0.13376286844767932
2.54,0.1323131930076771
2.55,0.13236986021081323
2.56,0.13489909937900096
2.57,0.14250278572329167
2.58,0.15897326160756972
2.59,0.18730441404868683
2.6,0.22719749957936436
2.61,0.2736190772570505
2.62,0.31743149757738165
2.63,0.34827550806237184
2.64,0.3586423953550108
2.65,0.3467534726620741
2.66,0.3164258018083198
2.67,0.27463910175587825
2.68,0.22893450761279233
2.69,0.18574910994561722
2.7,0.1495085214319431
2.71,0.12217168299709014
2.72,0.10325634277377939
2.73,0.09065339222111903
2.74,0.08238673918214048
2.75,0.07832572049561555
2.76,0.08000970310386024
2.77,0.08832267691072335
2.78,0.10131882074590584
2.79,0.11463373808929271
2.8,0.12463884747238649
2.81,0.13215748285710227
2.82,0.14349837467345547
2.83,0.1668723969067941
2.84,0.2060389362111471
2.85,0.25602341110364446
2.86,0.304529186574089
2.87,0.33839690287905605
2.88,0.3509034933942874
2.89,0.3450028441519856
2.9,0.33035783627072124
2.91,0.31678221589958083
2.92,0.30916736239930803
2.93,0.3066391946232152
2.94,0.30484029584062317
2.95,0.2988992905950123
2.96,0.28560699583891447
2.97,0.2645418949476565
2.98,0.2386011719269925
2.99,0.21411982225442622
3.0,0.1996664403679714
3.01,0.20273665405070773
3.02,0.22564652936955276
3.03,0.2633800431752936
3.04,0.3051726839789399
3.05,0.3392650877100911
3.06,0.3581175133226567
3.07,0.3609485342103758
3.08,0.35259868098371466
3.09,0.3403604266123966
3.1,0.3306597706031213
3.11,0.32631636416490184
3.12,0.32527790718006155
3.13,0.3633513940524749
3.14,0.349318900255816
3.15,0.3255224031031218
3.16,0.2963055109214825
3.17,0.26890461402154453
3.18,0.2511993469110341
3.19,0.24945315966843723
3.2,0.265879284994356
3.21,0.2966112248250513
3.22,0.3317894607262102
3.23,0.3589540280053321
3.24,0.36827670768266096
3.25,0.3562270608277875
3.26,0.325704868906851
3.27,0.28359238019379374
3.28,0.23780307010999244
3.29,0.1952524046416393
3.3,0.1611634734608966
3.31,0.1390263391668252
3.32,0.13006454497661746
3.33,0.13227495775669548
3.34,0.11134401988017742
3.35,0.11836264216766573
3.36,0.12230987682320267
3.37,0.12191396802463694
3.38,0.1182219928756595
3.39,0.11249061958359823
3.4,0.10430586346061264
3.41,0.09149943953462032
3.42,0.07168032607832661
3.43,0.04412020789438519
3.44,0.011189470486427919
3.45,-0.021205285084899786
3.46,-0.044979634049932576
3.47,-0.05295668767258102
3.48,-0.0421499938258213
3.49,-0.015531529493871293
3.5,0.018580063131486524
3.51,0.04946688016119802
3.52,0.06815827317283937
3.53,0.07081129930799676
